Rt,Wt,Qt
0,3.95,0.000356731
0,3.515,0.000295381
0,3.434,0.000275283
0,3.332,0.000264324
0,3.187,0.000550275
0,2.87,0.000278502
0.082,2.696,0.000499482
0.352,2.417,0.00095259
0.634,3.095,0.000515569
0.827,3.37,0.000644103
0.961,3.567,0.000255381
1.03,3.78,0.00098925
1.026,3.766,0.0003855
0.952,3.493,0.000284818
0.814,3.083,0.000433998
0.619,2.671,0.000991923
0.367,2.178,0.000256254
0.123,2.329,0.000326736
0,2.369,0.001217848
0,2.531,0.000675934
0,3.047,0.000631874
0,3.559,0.000587451
0,3.76,0.00113112
0,3.786,0.000448404